Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
AAPL,Apple Inc.,Information Technology,2021-10-28,CALIFORNIA,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
MSFT,MICROSOFT CORP,Information Technology,2021-07-29,WASHINGTON,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
GOOG,Alphabet Inc.,Communication Services,2022-02-01,DELAWARE,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm
AMZN,AMAZON COM INC,Consumer Discretionary,2022-02-03,DELAWARE,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
TSLA,"Tesla, Inc.",Consumer Discretionary,2022-02-04,DELAWARE,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm
BRK.B,BERKSHIRE HATHAWAY INC,Financials,2022-02-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/brka-10k_20211231.htm
NVDA,NVIDIA CORP,Information Technology,2022-03-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
FB,"Meta Platforms, Inc.",Communication Services,2022-02-02,DELAWARE,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm
V,VISA INC.,Information Technology,2021-11-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/v-20210930.htm
JPM,JPMORGAN CHASE & CO,Financials,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm
UNH,UNITEDHEALTH GROUP INC,Health Care,2022-02-15,DELAWARE,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/unh-20211231.htm
JNJ,JOHNSON & JOHNSON,Health Care,2022-02-17,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm
PG,PROCTER & GAMBLE Co,Consumer Staples,2021-08-06,OHIO,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm
WMT,Walmart Inc.,Consumer Staples,2022-03-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm
BAC,BANK OF AMERICA CORP /DE/,Financials,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/bac-20211231.htm
HD,"HOME DEPOT, INC.",Consumer Discretionary,2022-03-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm
MA,Mastercard Inc,Information Technology,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/ma-20211231.htm
XOM,EXXON MOBIL CORP,Energy,2022-02-23,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/34088/000003408822000011/xom-20211231.htm
DIS,Walt Disney Co,Communication Services,2021-11-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/dis-20211002.htm
PFE,PFIZER INC,Health Care,2022-02-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/pfe-20211231.htm
KO,COCA COLA CO,Consumer Staples,2022-02-22,DELAWARE,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/ko-20211231.htm
CVX,CHEVRON CORP,Energy,2022-02-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/cvx-20211231.htm
ABBV,AbbVie Inc.,Health Care,2022-02-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm
AVGO,Broadcom Inc.,Information Technology,2021-12-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm
CSCO,"CISCO SYSTEMS, INC.",Information Technology,2021-09-09,DELAWARE,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm
